timestamp, decisao, erro
1770323633.8998039,Curva a Esquerda,-18.5
1770323633.9451861,Curva a Esquerda,-18.5
1770323633.9906473,Curva a Esquerda,-18.5
1770323634.0355144,Curva a Esquerda,-19.0
1770323634.1095467,Curva a Esquerda,-18.5
1770323634.1700487,Curva a Esquerda,-18.5
1770323634.2296576,Curva a Esquerda,-18.0
1770323634.2912,Curva a Esquerda,-18.0
1770323634.3428242,Curva a Esquerda,-18.0
1770323634.3984509,Curva a Esquerda,-17.5
1770323634.4621344,Curva a Esquerda,-17.0
1770323634.5139565,Curva a Esquerda,-17.0
1770323634.5610178,Curva a Esquerda,-17.0
1770323634.6213415,Curva a Esquerda,-16.0
1770323634.6717517,Curva a Esquerda,-15.0
1770323634.7183583,Curva a Esquerda,-15.0
1770323634.7687547,Curva a Esquerda,-14.0
1770323634.8191557,Curva a Esquerda,-14.0
1770323634.8725376,Curva a Esquerda,-13.0
1770323634.938895,Curva a Esquerda,-12.0
1770323635.0016003,Curva a Esquerda,-12.0
1770323635.068131,Curva a Esquerda,-11.0
1770323635.120179,Curva a Esquerda,-11.0
1770323635.167386,Curva a Esquerda,-10.5
1770323635.2113543,Curva a Esquerda,-10.0
1770323635.25904,Curva a Esquerda,-9.5
1770323635.3324177,Curva a Esquerda,-9.0
1770323635.4176989,Curva a Esquerda,-8.0
1770323635.4691126,Curva a Esquerda,-8.0
1770323635.5117855,Curva a Esquerda,-6.0
1770323635.558937,Curva a Esquerda,-5.0
1770323635.6331124,Curva a Esquerda,-4.5
1770323635.6958175,Curva a Esquerda,-3.5
1770323635.7772362,Curva a Esquerda,-2.0
1770323635.839274,Curva a Esquerda,-1.0
1770323635.901828,Em frente,0.0
1770323635.9728668,Em frente,0.5
1770323636.0341287,Em frente,1.5
1770323636.0815547,Em frente,2.0
1770323636.1290224,Em frente,2.5
1770323636.1941924,Em frente,3.0
1770323636.2484906,Em frente,4.0
1770323636.303035,Em frente,5.0
1770323636.374661,Em frente,5.5
1770323636.4358182,Em frente,6.0
1770323636.4997966,Em frente,6.5
1770323636.5514097,Em frente,6.5
1770323636.6321342,Em frente,7.0
1770323636.7103882,Em frente,7.5
1770323636.7737505,Em frente,7.5
1770323636.838707,Em frente,8.0
1770323636.9198916,Em frente,7.5
1770323636.9809718,Em frente,7.0
1770323637.0461445,Em frente,7.0
1770323637.1260312,Em frente,7.0
1770323637.1855464,Em frente,7.0
1770323637.2424607,Em frente,6.5
1770323637.2875097,Em frente,6.5
1770323637.3355355,Em frente,5.5
1770323637.397766,Em frente,5.5
1770323637.4509237,Em frente,5.0
1770323637.5039382,Em frente,5.0
1770323637.5781755,Em frente,5.0
1770323637.636773,Em frente,3.5
1770323637.69381,Em frente,3.0
1770323637.7478743,Em frente,3.0
1770323637.7973964,Em frente,3.0
1770323637.8426497,Em frente,2.5
1770323637.8923337,Em frente,2.0
1770323637.9379876,Em frente,1.0
1770323637.9843612,Em frente,0.5
1770323638.0599415,Em frente,0.0
1770323638.1214566,Curva a Esquerda,-0.5
1770323638.1890748,Em frente,0.0
1770323638.240463,Curva a Esquerda,-0.5
1770323638.2869532,Curva a Esquerda,-1.0
1770323638.3366277,Curva a Esquerda,-1.5
1770323638.3822315,Curva a Esquerda,-1.0
1770323638.4400604,Curva a Esquerda,-1.0
1770323638.5131996,Curva a Esquerda,-1.0
1770323638.5557091,Curva a Esquerda,-0.5
1770323638.6146095,Curva a Esquerda,-0.5
1770323638.6903772,Curva a Esquerda,-0.5
1770323638.7478836,Curva a Esquerda,-0.5
1770323638.7949805,Em frente,0.0
1770323638.8601005,Curva a Esquerda,-0.5
1770323638.9325223,Curva a Esquerda,-0.5
1770323639.0104017,Curva a Esquerda,-0.5
1770323639.070578,Em frente,0.0
1770323639.1182518,Em frente,0.5
1770323639.1594653,Em frente,0.5
1770323639.227651,Em frente,1.0
1770323639.2709534,Em frente,1.0
1770323639.3199072,Em frente,0.0
1770323639.367086,Curva a Esquerda,-0.5
1770323639.4349055,Em frente,0.0
1770323639.4829803,Em frente,0.0
1770323639.5422146,Curva a Esquerda,-0.5
1770323639.5908046,Curva a Esquerda,-2.0
1770323639.639292,Curva a Esquerda,-3.5
1770323639.70278,Curva a Esquerda,-4.5
1770323639.756762,Curva a Esquerda,-6.5
1770323639.8142433,Curva a Esquerda,-7.0
1770323639.862308,Curva a Esquerda,-7.5
1770323639.907637,Curva a Esquerda,-6.0
1770323639.9784865,Curva a Esquerda,-5.5
1770323640.0351164,Curva a Esquerda,-5.0
1770323640.0848858,Curva a Esquerda,-6.0
1770323640.1375253,Curva a Esquerda,-4.5
1770323640.1845725,Curva a Esquerda,-3.0
1770323640.235487,Curva a Esquerda,-2.0
1770323640.3094518,Curva a Esquerda,-1.0
1770323640.3568418,Em frente,0.0
1770323640.4047582,Curva a Esquerda,-0.5
1770323640.4538496,Curva a Esquerda,-1.5
1770323640.5024865,Curva a Esquerda,-3.0
1770323640.5561845,Curva a Esquerda,-3.5
1770323640.6031106,Curva a Esquerda,-2.5
1770323640.6541631,Curva a Esquerda,-3.0
1770323640.7044833,Curva a Esquerda,-3.0
1770323640.7554114,Curva a Esquerda,-2.5
1770323640.814435,Curva a Esquerda,-2.5
1770323640.8712218,Curva a Esquerda,-2.0
1770323640.9222178,Curva a Esquerda,-1.5
1770323640.9950728,Em frente,0.0
1770323641.0563998,Em frente,1.0
1770323641.1207387,Em frente,1.5
1770323641.2069335,Em frente,1.5
1770323641.269076,Em frente,2.5
1770323641.331406,Em frente,2.5
1770323641.4000664,Em frente,2.5
1770323641.4778478,Em frente,3.0
1770323641.5353775,Em frente,3.0
1770323641.5944915,Em frente,4.0
1770323641.640821,Em frente,4.0
1770323641.70383,Em frente,4.0
1770323641.7707086,Em frente,4.0
1770323641.8170426,Em frente,4.5
1770323641.8649704,Em frente,4.5
